Date,Open,High,Low,Close,Adj Close,Volume
2015-02-17,25.8,30.96,25.8,30.96,30.96,66000.0
2015-02-25,34.06,34.06,34.06,34.06,34.06,14400.0
2015-02-26,37.47,37.47,37.47,37.47,37.47,14500.0
2015-02-27,41.22,41.22,41.22,41.22,41.22,54800.0
2015-03-02,45.34,45.34,45.34,45.34,45.34,269100.0
2015-03-03,45.34,49.48,40.95,47.47,47.47,26072516.0
2015-03-04,44.2,45.5,43.1,44.24,44.24,13438186.0
2015-03-05,44.0,44.0,42.06,42.07,42.07,10068349.0
2015-03-06,41.98,43.2,41.01,41.25,41.25,7292743.0
2015-03-09,40.98,40.99,39.1,39.55,39.55,6494962.0
2015-03-10,39.54,40.67,39.42,40.35,40.35,4457138.0
2015-03-11,40.0,40.0,39.21,39.31,39.31,4379880.0
2015-03-12,39.06,39.45,38.01,38.16,38.16,5446868.0
2015-03-13,38.5,39.46,38.38,39.18,39.18,3772575.0
2015-03-16,39.55,40.36,39.5,40.28,40.28,5114398.0
2015-03-17,40.48,40.58,40.06,40.38,40.38,4839366.0
2015-03-18,40.39,40.79,40.07,40.65,40.65,5287241.0
2015-03-19,40.68,41.69,40.25,41.35,41.35,5761056.0
2015-03-20,41.36,41.5,40.76,40.91,40.91,4466154.0
2015-03-23,40.91,41.35,40.6,41.14,41.14,5140428.0
2015-03-24,41.15,41.19,39.61,40.45,40.45,5366348.0
2015-03-25,40.5,42.46,40.18,42.1,42.1,8778662.0
2015-03-26,41.9,41.9,40.7,40.98,40.98,4886764.0
2015-03-27,40.83,41.16,40.71,40.98,40.98,2393752.0
2015-03-30,40.99,42.19,40.9,41.36,41.36,4436506.0
2015-03-31,41.15,41.81,40.66,41.28,41.28,4707824.0
2015-04-01,41.23,42.17,41.16,42.04,42.04,5546449.0
2015-04-02,42.23,42.48,41.66,42.07,42.07,4795609.0
2015-04-03,42.07,46.05,41.68,45.28,45.28,9962369.0
2015-04-07,44.71,45.5,44.6,45.29,45.29,5679078.0
2015-04-08,45.48,45.7,42.8,44.02,44.02,5539326.0
2015-04-09,43.98,43.98,42.16,43.4,43.4,4754119.0
2015-04-10,43.01,45.39,42.88,45.09,45.09,5083208.0
2015-04-13,45.0,47.94,44.81,47.0,47.0,6919914.0
2015-04-14,46.51,47.26,45.49,46.71,46.71,5948206.0
2015-04-15,46.5,46.5,43.51,43.96,43.96,3900250.0
2015-04-16,43.9,44.9,43.0,44.28,44.28,3002031.0
2015-04-17,44.48,45.88,44.48,44.53,44.53,3647649.0
2015-04-20,44.59,44.9,43.08,43.17,43.17,3456277.0
2015-04-21,43.0,44.49,43.0,44.36,44.36,3367712.0
2015-04-22,44.0,45.38,43.8,45.26,45.26,5680425.0
2015-04-23,44.89,45.0,44.0,44.3,44.3,4712096.0
2015-04-24,43.67,44.04,42.84,43.4,43.4,3967061.0
2015-04-27,43.6,45.46,43.55,45.38,45.38,6011209.0
2015-04-28,45.0,45.9,43.1,43.31,43.31,4229635.0
2015-04-29,43.02,44.75,43.02,44.75,44.75,3807840.0
2015-04-30,44.89,46.45,44.6,44.85,44.85,7005808.0
2015-05-04,44.58,45.18,43.56,45.0,45.0,5004977.0
2015-05-05,45.25,46.0,43.78,44.09,44.09,4542750.0
2015-05-06,44.12,45.77,43.8,44.1,44.1,6199881.0
2015-05-07,43.93,44.09,42.1,42.2,42.2,4800820.0
2015-05-08,43.0,44.5,42.28,44.21,44.21,4064668.0
2015-05-11,44.15,48.63,44.15,48.63,48.63,16670984.0
2015-05-12,49.2,52.93,48.3,52.41,52.41,17908592.0
2015-05-13,50.1,52.15,49.01,50.5,50.5,10072300.0
2015-05-14,50.2,55.55,50.2,55.35,55.35,12639145.0
2015-05-15,54.2,58.8,52.0,54.66,54.66,9953348.0
2015-05-18,54.76,59.0,54.75,58.05,58.05,9935633.0
2015-05-19,58.94,59.7,55.5,57.3,57.3,7378649.0
2015-05-20,57.0,62.0,56.47,59.98,59.98,8837640.0
2015-05-21,60.0,61.25,57.85,59.21,59.21,6574563.0
2015-05-22,59.5,62.14,57.08,61.9,61.9,9104116.0
2015-05-25,60.5,65.48,59.5,64.5,64.5,6645356.0
2015-05-26,63.05,67.92,62.8,66.28,66.28,6620308.0
2015-05-27,66.27,72.85,64.65,71.76,71.76,7495445.0
2015-05-28,71.76,78.75,64.58,64.61,64.61,9704556.0
2015-05-29,62.52,67.63,58.3,62.5,62.5,10168586.0
2015-06-01,62.65,64.39,60.01,63.81,63.81,7330516.0
2015-06-02,63.81,63.85,60.04,62.24,62.24,6549019.0
2015-06-03,62.09,63.8,61.11,62.07,62.07,4334418.0
2015-06-04,61.7,61.77,56.0,58.5,58.5,5613129.0
2015-06-05,59.61,61.0,58.1,59.14,59.14,3992338.0
2015-06-08,59.2,59.45,56.55,56.89,56.89,3842896.0
